dataset_id,window_start,e_conn_count,e_unique_dst_ip,e_unique_dst_port,e_mean_duration,e_std_duration,e_mean_orig_bytes,e_mean_resp_bytes,e_mean_orig_pkts,e_mean_resp_pkts,e_tcp_ratio,e_udp_ratio,e_dns_ratio,e_ssl_ratio,e_http_ratio,e_rej_ratio,e_rst_ratio,e_interarrival_std,y
example1,1609951275,10,6,3,30.4747176,37.42560739137016,1257.0,20811.4,7.1,18.0,0.5,0.5,0.5,0.1,0.4,0.0,0.3,0.5756779388997688,2
example1,1609951305,7,4,2,0.8327568571428572,0.786891981378898,6398.714285714285,8324.0,13.428571428571429,15.571428571428571,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.4273422243715842,2
example1,1609951310,1,1,1,0.896221,0.0,2680.0,4474.0,9.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
example1,1609951350,1,1,1,109.987365,0.0,36349.0,1483945.0,406.0,1113.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609951360,5,3,2,0.22913319999999998,0.06696258711668779,58.6,1159.0,2.2,2.0,0.8,0.2,0.2,0.2,0.0,0.6,0.8,0.1878858014085545,2
example1,1609951365,9,3,2,0.6364535555555556,1.1457480727675127,3994.3333333333335,943.0,5.555555555555555,4.555555555555555,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.2409138930278201,2
example1,1609951370,9,3,2,0.6759584444444444,1.2822980921877989,567.0,827.4444444444445,2.6666666666666665,2.6666666666666665,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.2130322050139636,2
example1,1609951375,4,2,2,1.085767,1.55669134671376,1640.0,534.5,3.75,3.5,1.0,0.0,0.0,0.0,0.25,0.75,0.75,0.19192967380326656,2
example1,1609951380,1,1,1,84.217277,0.0,7790.0,3674.0,17.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609951470,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609951480,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609951495,1,1,1,0.080294,0.0,34.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609951595,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609951600,2,2,2,0.639038,0.523118,2549.0,2499.5,6.5,5.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609951625,6,4,2,2.066067,3.831525303172006,2088.3333333333335,6124.5,7.833333333333333,8.666666666666666,0.5,0.5,0.5,0.5,0.0,0.0,0.16666666666666666,0.21498054835581332,2
example1,1609951630,2,2,2,0.21265299999999998,0.144289,323.5,3383.5,5.5,7.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609951640,1,1,1,6.01479,0.0,411.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609951655,4,3,2,42.77486525,62.72489833312254,1756.0,13859.5,10.75,15.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.031619359883360426,2
example1,1609951745,1,1,1,0.186727,0.0,99.0,169.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609951800,2,2,2,0.5427385,0.43396749999999995,6451.5,2320.5,9.0,6.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609952300,1,1,1,0.186062,0.0,99.0,120.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609952310,1,1,1,110.011013,0.0,16920.0,238395.0,131.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609952315,4,2,2,0.177224,0.11258841549866487,0.0,0.0,1.0,0.75,0.75,0.25,0.0,0.0,0.0,0.75,0.75,0.18520776296774333,2
