cand,mean_f1,std_f1,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,n_estimators,random_state
8,0.9911999303003235,0.0009773602055199472,,1,5,sqrt,balanced,300,42
3,0.991198247580211,0.0005266925267268735,,1,2,0.5,balanced_subsample,300,42
7,0.9911578266048663,0.0012246554881555028,,1,5,sqrt,balanced_subsample,300,42
10,0.9910237000392476,0.0010321528871805982,,1,5,0.5,balanced,300,42
2,0.9910219366396195,0.0009497831434503068,,1,2,sqrt,balanced,300,42
4,0.9910208685462104,0.0009137959324342143,,1,2,0.5,balanced,300,42
6,0.9909754552761842,0.0010238038427308194,,1,2,0.75,balanced,300,42
1,0.9909337465967274,0.0012398313661904441,,1,2,sqrt,balanced_subsample,300,42
9,0.9908886404360663,0.0010843128351714188,,1,5,0.5,balanced_subsample,300,42
11,0.9908480585681027,0.0014409495357225117,,1,5,0.75,balanced_subsample,300,42
12,0.9907576794184354,0.0016473541230240956,,1,5,0.75,balanced,300,42
5,0.9907115501772943,0.0017367452600045466,,1,2,0.75,balanced_subsample,300,42
16,0.9906786505724259,0.001253799209595703,,1,10,0.5,balanced,300,42
15,0.9905446869851326,0.0011675033850732045,,1,10,0.5,balanced_subsample,300,42
21,0.9904888843118572,0.0014699855320067707,,2,2,0.5,balanced_subsample,300,42
13,0.9904616779898644,0.0015659145690376786,,1,10,sqrt,balanced_subsample,300,42
22,0.9904501548504119,0.0015377220593248853,,2,2,0.5,balanced,300,42
26,0.9904055873385579,0.0016460975865313983,,2,5,sqrt,balanced,300,42
28,0.9904044580366325,0.0013304384362684673,,2,5,0.5,balanced,300,42
14,0.9903735526703825,0.0016773642064142574,,1,10,sqrt,balanced,300,42
17,0.9903687593453123,0.0012775219777987968,,1,10,0.75,balanced_subsample,300,42
56,0.9903103263976731,0.0008735093760242013,12.0,1,2,sqrt,balanced,300,42
30,0.9902762800137908,0.0018847673874077442,,2,5,0.75,balanced,300,42
